,id,test_data,predicted_mood,orders,rmse
0,AS14.01,"[7.4, 7.6, 7.6, 7.2, 7.6, 7.5, 7.6, 7.0, 7.8, 8.0, 7.6, 8.0, 8.0]","[7.436165995922603, 7.436165995922603, 7.436165995922603, 7.436165995922603, 7.436165995922603, 7.436165995922603, 7.436165995922603, 7.436165995922603, 7.436165995922603, 7.436165995922603, 7.436165995922603, 7.436165995922603, 7.436165995922603]","[0, 1, 1]",0.33646434859853813
1,AS14.17,"[7.25, 7.2, 7.2, 8.0, 7.2, 6.75, 7.0, 7.0, 8.0, 7.0, 7.25, 7.008425917327995, 7.5]","[7.1938487550718415, 7.1938487550718415, 7.1938487550718415, 7.1938487550718415, 7.1938487550718415, 7.1938487550718415, 7.1938487550718415, 7.1938487550718415, 7.1938487550718415, 7.1938487550718415, 7.1938487550718415, 7.1938487550718415, 7.1938487550718415]","[0, 0, 0]",0.36627260212647383
2,AS14.08,"[5.6, 6.666666666666667, 6.333333333333333, 6.0, 6.0, 5.8, 5.75, 6.666666666666667, 7.0, 7.2, 7.4, 6.8, 6.666666666666667]","[6.699831001854969, 6.799943773130775, 6.814265183508361, 6.816313901095432, 6.816606975844421, 6.816648901002401, 6.8166548985128586, 6.81665575647341, 6.816655879207053, 6.816655896764442, 6.816655899276076, 6.816655899635371, 6.81665589968677]","[1, 0, 0]",0.6521773288143047
3,AS14.13,"[7.666666666666667, 7.75, 8.8, 8.0, 8.166666666666666, 8.5, 7.833333333333333, 8.333333333333334, 8.0, 7.25, 8.0]","[6.772323090819012, 7.092429898113576, 6.984070891521058, 7.0483849256292785, 7.031171246079532, 7.044844406003328, 7.0426798860748905, 7.045833365144172, 7.045797704096717, 7.046601445974672, 7.046724839696999]","[2, 0, 0]",1.0865141034329564
4,AS14.16,"[7.2, 6.75, 7.2, 8.0, 7.0, 7.0, 7.0, 8.0, 6.98875300128701, 7.0, 7.333333333333333]","[6.383506619870527, 6.383506619870527, 6.383506619870527, 6.383506619870527, 6.383506619870527, 6.383506619870527, 6.383506619870527, 6.383506619870527, 6.383506619870527, 6.383506619870527, 6.383506619870527]","[0, 1, 1]",0.9284636523983244
5,AS14.05,"[7.2, 7.8, 7.4, 7.0, 6.8, 7.0, 6.8, 7.0, 6.75, 7.0, 6.333333333333333]","[6.9854060064051895, 6.746934328993216, 6.578266621146934, 6.565827361499687, 6.632268774343837, 6.684597096802994, 6.69181945257423, 6.673574363608121, 6.657507677294111, 6.654329429285969, 6.659254872265597]","[2, 0, 2]",0.47662514531206407
6,AS14.15,"[7.0, 7.0, 7.0, 6.0, 6.6, 7.0, 6.8, 7.0, 7.0, 6.970747281520684, 7.0, 7.0]","[6.742974602183353, 6.8923944890412825, 6.933512991635805, 6.944828294378762, 6.947942125576054, 6.948799013362929, 6.949034818271022, 6.949099708861754, 6.949117565948781, 6.949122479998007, 6.949123832283503, 6.949124204415726]","[1, 0, 0]",0.30706716079753915
7,AS14.12,"[7.0, 6.0, 6.6, 6.0, 6.25, 6.2, 5.5, 5.6, 4.8, 6.0]","[6.104947130176031, 5.849975525903021, 5.978722705757057, 5.913712186771504, 5.946539061764513, 5.929963225444146, 5.938333146424383, 5.934106778845612, 5.936240871025581, 5.935163267303775]","[1, 1, 0]",0.5459923856730661
8,AS14.02,"[6.5, 6.5, 5.666666666666667, 5.0, 5.5, 5.666666666666667, 5.5, 7.0, 9.0]","[6.850146842089551, 6.856731862744756, 6.856968196162956, 6.856976678062631, 6.8569769824741815, 6.856976993399375, 6.856976993791474, 6.856976993805547, 6.856976993806052]","[1, 0, 0]",1.2835564956990233
9,AS14.07,"[5.4, 6.0, 6.75, 5.0, 5.0, 5.0, 6.2, 5.666666666666667, 8.0, 5.5]","[5.249812785392374, 5.249812785392374, 5.249812785392374, 5.249812785392374, 5.249812785392374, 5.249812785392374, 5.249812785392374, 5.249812785392374, 5.249812785392374, 5.249812785392374]","[0, 1, 1]",1.0828602992714547
10,AS14.20,"[7.0, 6.8, 6.8, 7.25, 7.0, 7.0, 7.2, 6.75, 7.333333333333333, 7.0]","[6.904011406840762, 6.851873525601294, 6.8899511102251125, 6.915329929040789, 6.932244984206237, 6.943518916745345, 6.951033024955644, 6.956041199521192, 6.959379162161208, 6.961603923786489]","[1, 0, 2]",0.19635027313474704
11,AS14.30,"[7.8, 7.8, 8.0, 8.0, 7.8, 8.2, 8.0, 7.8, 7.8, 8.0]","[7.745123423288143, 7.745123423288143, 7.745123423288143, 7.745123423288143, 7.745123423288143, 7.745123423288143, 7.745123423288143, 7.745123423288143, 7.745123423288143, 7.745123423288143]","[0, 1, 1]",0.2195035696348878
12,AS14.14,"[8.0, 7.666666666666667, 6.950407486969835, 6.950740926224768, 7.0, 6.0, 6.666666666666667, 6.8, 6.8, 7.0]","[7.330329105114126, 7.643342228232356, 7.004228074639517, 6.878414533978524, 6.952732024841299, 6.9088330182707685, 6.93476396340235, 6.919446671100148, 6.928494526559352, 6.923149999158848]","[1, 0, 3]",0.3733501104689316
13,AS14.03,"[7.0, 7.2, 7.0, 7.2, 7.6, 7.75, 7.4, 7.25, 6.819699299036512, 7.666666666666667]","[7.484730046624438, 7.484730046624438, 7.484730046624438, 7.484730046624438, 7.484730046624438, 7.484730046624438, 7.484730046624438, 7.484730046624438, 7.484730046624438, 7.484730046624438]","[0, 1, 1]",0.35402942673691457
14,AS14.09,"[8.0, 6.25, 6.6, 6.75, 7.0, 7.5, 7.6, 7.75, 6.6, 6.0]","[7.266119265319789, 6.994220431633596, 6.7797611689901105, 6.765252764407258, 6.869186590260739, 6.954492581988051, 6.9625217931608425, 6.922864541046772, 6.88898076970314, 6.8849217079832385]","[2, 0, 2]",0.5828215889737542
15,AS14.19,"[7.75, 6.333333333333333, 6.4, 7.2, 7.0, 6.8, 7.8, 7.4, 6.6, 7.0]","[6.87918171332647, 6.744195189152584, 6.744195189152584, 6.744195189152584, 6.744195189152584, 6.744195189152584, 6.744195189152584, 6.744195189152584, 6.744195189152584, 6.744195189152584]","[0, 0, 1]",0.54340985336417
16,AS14.23,"[7.0, 7.4, 7.8, 7.5, 7.0, 7.6, 7.4, 9.0]","[6.566719783989546, 6.809478469601361, 6.875611870950291, 6.965647999681599, 6.954947224270217, 7.005572832384005, 6.975414329450495, 7.015689157964355]","[2, 1, 2]",0.8767560105639303
