,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,screen,call,sms,circumplex.arousal
activity,1,0.041600428,-0.08999816,0.065194304,0.045673285,-0.171257712,0.273826167,0.092059083,-0.160144609,-0.043849837,-0.072089248,0.006595664,-0.185323988,-0.092081662,0.095084433,0.014590032,-0.003677444
appCat.builtin,0.041600428,1,0.008843094,-0.191217124,0.079304399,-0.145568748,0.202260896,0.089054749,-0.029389012,0.09771634,-0.040153429,-0.095288653,0.245060357,-0.008243737,-0.097612034,-0.148980167,-0.050510805
appCat.communication,-0.08999816,0.008843094,1,0.106608078,-0.261399518,0.038986673,-0.063798506,0.187550277,0.226336087,0.072302311,-0.023282893,-0.064369003,-0.157507435,0.488450053,0.030437599,0.038049534,-0.032056801
appCat.entertainment,0.065194304,-0.191217124,0.106608078,1,-0.328488114,0.008612412,0.117813605,0.10815553,0.060569464,0.015400207,0.024768331,0.074375426,0.185374178,0.099443663,-0.022350571,0.00917217,-0.014865492
appCat.finance,0.045673285,0.079304399,-0.261399518,-0.328488114,1,-0.046369428,0.051667026,-0.150107866,-0.214340546,0.00344861,0.008892746,-0.157141502,-0.031960956,-0.154320247,0.048247454,-0.253928954,0.126403607
appCat.game,-0.171257712,-0.145568748,0.038986673,0.008612412,-0.046369428,1,-0.128977202,0.047958895,0.179001913,-0.079848228,-0.250041684,-0.079087854,-0.455424846,0.281085912,0.215554327,0.019316195,-0.3179342
appCat.office,0.273826167,0.202260896,-0.063798506,0.117813605,0.051667026,-0.128977202,1,-0.044055782,0.015395293,0.083121492,0.079891753,0.046533395,-0.329623029,-0.01258139,0.023912729,-0.209160291,-0.022085575
appCat.other,0.092059083,0.089054749,0.187550277,0.10815553,-0.150107866,0.047958895,-0.044055782,1,0.068115108,0.047206001,0.041806897,-0.171908856,0.002842382,0.118363727,0.079586269,-0.042735093,-0.084067599
appCat.social,-0.160144609,-0.029389012,0.226336087,0.060569464,-0.214340546,0.179001913,0.015395293,0.068115108,1,0.132989998,0.270492848,-0.109700259,-0.038012825,0.204084295,-0.054852515,0.032455675,-0.108978617
appCat.travel,-0.043849837,0.09771634,0.072302311,0.015400207,0.00344861,-0.079848228,0.083121492,0.047206001,0.132989998,1,0.066247093,0.041628927,0.386859569,0.09659536,0.00886967,0.058878126,-0.070602527
appCat.unknown,-0.072089248,-0.040153429,-0.023282893,0.024768331,0.008892746,-0.250041684,0.079891753,0.041806897,0.270492848,0.066247093,1,0.119244695,0.208168414,0.009271611,-0.250184524,0.138870016,-0.074654348
appCat.utilities,0.006595664,-0.095288653,-0.064369003,0.074375426,-0.157141502,-0.079087854,0.046533395,-0.171908856,-0.109700259,0.041628927,0.119244695,1,0.141261515,-0.088805842,-0.120376271,-0.086291383,0.128968585
appCat.weather,-0.185323988,0.245060357,-0.157507435,0.185374178,-0.031960956,-0.455424846,-0.329623029,0.002842382,-0.038012825,0.386859569,0.208168414,0.141261515,1,-0.226398994,-0.221593443,-0.192421637,0.07813939
screen,-0.092081662,-0.008243737,0.488450053,0.099443663,-0.154320247,0.281085912,-0.01258139,0.118363727,0.204084295,0.09659536,0.009271611,-0.088805842,-0.226398994,1,-0.051020385,0.078430247,-0.03519729
call,0.095084433,-0.097612034,0.030437599,-0.022350571,0.048247454,0.215554327,0.023912729,0.079586269,-0.054852515,0.00886967,-0.250184524,-0.120376271,-0.221593443,-0.051020385,1,-0.011262233,0.012412188
sms,0.014590032,-0.148980167,0.038049534,0.00917217,-0.253928954,0.019316195,-0.209160291,-0.042735093,0.032455675,0.058878126,0.138870016,-0.086291383,-0.192421637,0.078430247,-0.011262233,1,-0.031626141
circumplex.arousal,-0.003677444,-0.050510805,-0.032056801,-0.014865492,0.126403607,-0.3179342,-0.022085575,-0.084067599,-0.108978617,-0.070602527,-0.074654348,0.128968585,0.07813939,-0.03519729,0.012412188,-0.031626141,1
,0.003677444,0.050510805,0.032056801,0.014865492,0.126403607,0.3179342,0.022085575,0.084067599,0.108978617,0.070602527,0.074654348,0.128968585,0.07813939,0.03519729,0.012412188,0.031626141,
,-,-,-,-,+,-,-,-,-,-,-,+,+,-,+,-,
