,id,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,screen,call,sms,circumplex.valence
0,AS14.01,26/02/2014,,,,,,,,,,,,,,,1,2,0.75
1,AS14.01,27/02/2014,,,,,,,,,,,,,,,,,0.333333333
2,AS14.01,20/03/2014,0.081547619,3.03665,29.72457576,14.19766667,,,,5.6725,62.1094,,45.173,10.537,,25.76860008,1,,
3,AS14.01,21/03/2014,0.134050104,5.320082927,29.08206122,8.408166667,6.193,,5.479,10.093,55.74548214,16.7373,,9.962521739,,33.34840697,6,,0.2
4,AS14.01,22/03/2014,0.236880219,5.126204301,24.03312346,4.01,7.025333333,,,10.09416667,36.636,37.305,,26.594,,26.42142608,3,1,0.5
5,AS14.01,23/03/2014,0.142741116,5.355594059,30.81074713,4.028,10.85075,,,8.1208,38.20082353,,,30.086,30.386,32.32880234,,,0.8
6,AS14.01,24/03/2014,0.078961056,4.302682353,28.01451934,11.71483333,5.684333333,,3.01,11.093,36.83202703,8.75125,,10.064,,34.21664943,10,,0
7,AS14.01,25/03/2014,0.098374112,4.638989583,29.86445528,18.066,10.7635,,,7.92,49.33012,,11.36371429,22.2893,,33.60094948,,1,0.5
8,AS14.01,26/03/2014,0.101308322,4.755234375,25.58054651,15.5655,8.721833333,,,11.305,51.26777419,,,33.365,,33.05777419,,,0.6
9,AS14.01,27/03/2014,0.159510641,5.374533784,26.55693289,13.09633333,14.073,,8.009111111,9.755333333,36.73058333,23.657,,12.7802,,35.30366102,2,1,0.8
10,AS14.01,28/03/2014,0.095698022,5.500220339,24.07869444,18.59075,12.738,116.518,,17.84033333,25.63705,24.85506667,,16.35275,,31.1378395,5,,0.6
11,AS14.01,29/03/2014,0.06820281,5.430113924,29.08230769,10.82571429,,,,14.3485,59.111,17.47833333,,12.46615789,,28.7189,4,1,1
12,AS14.01,30/03/2014,0.049092971,4.7873125,24.33722222,31.269,,,,12.33383333,55.895,,33.2385,38.296,,24.47170002,,,0.75
13,AS14.01,31/03/2014,0.070505481,4.961463415,27.29875424,11.5963,6.875833333,51.176,,13.78375,40.76777273,36.6762,29.29,9.880125,,29.10319231,6,,0.6
14,AS14.01,01/04/2014,0.118443243,4.278091304,26.93314205,11.585125,5.950967742,78.247,3.159,10.42842857,31.27157143,28.856125,,12.88120833,,31.17254939,1,,0
15,AS14.01,02/04/2014,0.101916611,4.719698492,26.70455385,12.26,6.294764706,,,7.878722222,34.85376087,,,11.561,,30.91425258,4,,0.666666667
16,AS14.01,03/04/2014,0.049238473,4.325652542,27.20444203,14.36347368,6.516,,,10.23664286,34.71030435,19.082,,11.36066667,,28.43809205,4,,0
17,AS14.01,04/04/2014,0.126689311,4.767454054,26.64633333,4.808,,,,9.792333333,39.56448,7.942833333,,9.899384615,,23.70508633,2,1,0.4
18,AS14.01,05/04/2014,0.119002302,5.016655556,26.267,,,,,11.59042857,45.401,31.32416667,,13.21733333,,31.90698305,,,0.6
