,id,test_data,predicted_mood,orders,rmse
0,AS14.01,"[8.0, 7.5, 7.4, 6.0, 6.5, 6.4, 6.2, 6.8, 6.5, 6.5, 6.6, 7.4, 7.4, 7.0, 7.25]","[6.63159721605699, 6.865904205858753, 6.865904205858753, 6.865904205858753, 6.865904205858753, 6.865904205858753, 6.865904205858753, 6.865904205858753, 6.865904205858753, 6.865904205858753, 6.865904205858753, 6.865904205858753, 6.865904205858753, 6.865904205858753, 6.865904205858753]","[0, 0, 1]",0.5878140962964297
1,AS14.09,"[5.4, 6.8, 6.4, 6.2, 3.5, 6.4, 6.5, 6.2, 6.0, 4.75, 3.8, 5.2, 7.0, 3.0, 6.6]","[6.328506674617526, 6.328506674617526, 6.328506674617526, 6.328506674617526, 6.328506674617526, 6.328506674617526, 6.328506674617526, 6.328506674617526, 6.328506674617526, 6.328506674617526, 6.328506674617526, 6.328506674617526, 6.328506674617526, 6.328506674617526, 6.328506674617526]","[0, 1, 1]",1.4382299992639809
2,AS14.31,"[7.2, 7.5, 6.8, 6.2, 7.6, 7.0, 6.8, 6.0, 6.333333333333333, 7.4, 7.0, 6.833333333333333, 7.5, 6.0, 7.014545454545454, 7.0]","[7.281148731669876, 7.152015185586252, 7.232602452088087, 7.313324426200548, 7.346712006242079, 7.322199855000209, 7.294927073886638, 7.285803199375954, 7.29374195150563, 7.302643156923785, 7.3051978345168616, 7.302559630184341, 7.299699137190438, 7.298980425862449, 7.299864379624821, 7.3007764673047255]","[3, 1, 1]",0.6502427910446981
3,AS14.13,"[6.8, 6.666666666666667, 6.923550724637681, 6.923550724637681, 6.923550724637681, 6.923550724637681, 6.923550724637681, 6.923550724637681, 6.923550724637681, 6.923550724637681, 6.923550724637681, 6.923550724637681, 6.923550724637681, 6.923550724637681, 6.923550724637681]","[6.656850155726773, 6.404434424316837, 6.5843116891183895, 6.589643441344797, 6.818683651632899, 6.818683651632899, 6.818683651632899, 6.818683651632899, 6.818683651632899, 6.818683651632899, 6.818683651632899, 6.818683651632899, 6.818683651632899, 6.818683651632899, 6.818683651632899]","[0, 1, 5]",0.1706464096518209
4,AS14.14,"[6.0, 6.8, 7.0, 6.0, 5.8, 6.0, 5.5, 7.0, 6.6, 8.0, 6.25, 6.5, 6.6, 6.333333333333333, 7.2]","[7.201111645679124, 6.97328800903311, 7.07357369823569, 7.07357369823569, 7.07357369823569, 7.07357369823569, 7.07357369823569, 7.07357369823569, 7.07357369823569, 7.07357369823569, 7.07357369823569, 7.07357369823569, 7.07357369823569, 7.07357369823569, 7.07357369823569]","[0, 0, 2]",0.8471433895381398
5,AS14.15,"[6.75, 5.8, 6.4, 6.4, 6.0, 5.4, 6.5, 6.2, 6.25, 6.4, 6.25, 5.25, 6.4, 6.6, 6.8, 5.6]","[6.5409437684222995, 6.5409437684222995, 6.5409437684222995, 6.5409437684222995, 6.5409437684222995, 6.5409437684222995, 6.5409437684222995, 6.5409437684222995, 6.5409437684222995, 6.5409437684222995, 6.5409437684222995, 6.5409437684222995, 6.5409437684222995, 6.5409437684222995, 6.5409437684222995, 6.5409437684222995]","[0, 1, 1]",0.5687848867863456
6,AS14.29,"[7.4, 6.4, 7.0, 7.0, 7.0, 7.0, 6.8, 6.8, 7.25, 7.0, 7.0, 7.2, 6.75, 7.333333333333333, 7.0]","[7.253781915734497, 7.11606823035874, 7.11606823035874, 7.11606823035874, 7.11606823035874, 7.11606823035874, 7.11606823035874, 7.11606823035874, 7.11606823035874, 7.11606823035874, 7.11606823035874, 7.11606823035874, 7.11606823035874, 7.11606823035874, 7.11606823035874]","[0, 1, 2]",0.26260577107047023
7,AS14.08,"[7.0, 7.6, 6.8, 6.25, 6.8, 8.2, 7.0, 6.6, 7.0, 7.75, 6.4, 7.5, 7.2, 6.75]","[7.2189842518046925, 7.2189842518046925, 7.2189842518046925, 7.2189842518046925, 7.2189842518046925, 7.2189842518046925, 7.2189842518046925, 7.2189842518046925, 7.2189842518046925, 7.2189842518046925, 7.2189842518046925, 7.2189842518046925, 7.2189842518046925, 7.2189842518046925]","[0, 0, 0]",0.5461935951572009
8,AS14.16,"[7.250943396226414, 7.250943396226414, 7.0, 7.8, 7.0, 6.4, 6.6, 7.0, 7.8, 6.4, 6.4, 8.4, 7.4, 8.8, 7.6]","[7.15945625206714, 7.114180278672558, 7.068428721732188, 7.0342336117962585, 7.005636303645678, 6.982758170026519, 6.964138796108066, 6.94908640973681, 6.936886003217191, 6.9270072061163805, 6.91900509387059, 6.912524142433547, 6.907274874497921, 6.903023311085719, 6.899579792021293]","[2, 0, 0]",0.7715578597730596
9,AS14.17,"[6.903787878787878, 6.903787878787878, 6.903787878787878, 6.903787878787878, 6.903787878787878, 6.903787878787878, 6.903787878787878, 6.903787878787878, 6.903787878787878, 6.903787878787878, 6.903787878787878, 6.903787878787878, 6.903787878787878, 6.903787878787878, 6.903787878787878]","[7.067989621992913, 7.111677531110687, 7.177275743057933, 7.209089545802325, 7.239116689618109, 7.257563249545984, 7.272341361679455, 7.282336801905513, 7.289853903161252, 7.295139506894904, 7.299016742065394, 7.301785751207621, 7.303796960416145, 7.3052422642876165, 7.306287906780091]","[2, 0, 0]",0.35165407390821884
10,AS14.19,"[6.903787878787878, 7.5, 6.0, 6.0, 6.2, 6.5, 6.75, 7.5, 7.0, 7.0, 7.0, 7.333333333333333, 8.0, 8.0, 7.666666666666667]","[7.369836052827675, 7.369836052827675, 7.369836052827675, 7.369836052827675, 7.369836052827675, 7.369836052827675, 7.369836052827675, 7.369836052827675, 7.369836052827675, 7.369836052827675, 7.369836052827675, 7.369836052827675, 7.369836052827675, 7.369836052827675, 7.369836052827675]","[0, 1, 1]",0.7214478910326855
11,AS14.27,"[6.6, 7.0, 8.0, 7.25, 6.6, 6.8, 7.2, 6.75, 6.8, 7.2, 7.2, 7.0, 6.4, 6.8, 6.8, 6.8]","[7.057427012981191, 6.845688817243763, 6.845688817243763, 6.845688817243763, 6.845688817243763, 6.845688817243763, 6.845688817243763, 6.845688817243763, 6.845688817243763, 6.845688817243763, 6.845688817243763, 6.845688817243763, 6.845688817243763, 6.845688817243763, 6.845688817243763, 6.845688817243763]","[0, 0, 1]",0.3879408494582596
12,AS14.20,"[6.166666666666667, 6.4, 7.2, 7.4, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.2, 7.0, 7.2, 7.0]","[6.961751464550199, 6.9959620401969245, 7.015442195816193, 7.026534568738226, 7.0328507778818405, 7.036447348086097, 7.038495303899469, 7.039661449080944, 7.040325474435101, 7.040703583162874, 7.040918885499031, 7.041041482764181, 7.041111291990085, 7.041151042697537]","[1, 0, 1]",0.29562817646575584
13,AS14.23,"[6.0, 6.6, 7.0, 6.8, 7.0, 7.0, 6.9384848484848485, 7.0, 7.0, 6.722641509433961, 6.722641509433961, 6.722641509433961, 6.722641509433961]","[6.921795895616145, 6.921795895616145, 6.921795895616145, 6.921795895616145, 6.921795895616145, 6.921795895616145, 6.921795895616145, 6.921795895616145, 6.921795895616145, 6.921795895616145, 6.921795895616145, 6.921795895616145, 6.921795895616145]","[0, 1, 1]",0.29840632092730096
14,AS14.25,"[7.205952380952381, 7.205952380952381, 7.205952380952381, 7.205952380952381, 7.205952380952381, 7.205952380952381, 7.205952380952381, 7.205952380952381, 7.205952380952381, 7.0, 8.0, 7.25, 7.5, 7.6, 7.2]","[7.2139639533468785, 7.2139639533468785, 7.2139639533468785, 7.2139639533468785, 7.2139639533468785, 7.2139639533468785, 7.2139639533468785, 7.2139639533468785, 7.2139639533468785, 7.2139639533468785, 7.2139639533468785, 7.2139639533468785, 7.2139639533468785, 7.2139639533468785, 7.2139639533468785]","[0, 1, 1]",0.24447834880986377
15,AS14.28,"[6.981914893617022, 6.981914893617022, 6.981914893617022, 6.981914893617022, 6.981914893617022, 6.981914893617022, 6.981914893617022, 6.981914893617022, 6.981914893617022, 7.0, 7.0, 7.5]","[7.032919441438158, 7.042749383104663, 7.042749383104663, 7.042749383104663, 7.042749383104663, 7.042749383104663, 7.042749383104663, 7.042749383104663, 7.042749383104663, 7.042749383104663, 7.042749383104663, 7.042749383104663]","[0, 0, 1]",0.1428697807302856
16,AS14.06,"[6.717924528301886, 6.717924528301886, 6.717924528301886, 6.717924528301886, 6.717924528301886, 6.717924528301886, 6.717924528301886, 6.717924528301886, 6.717924528301886, 8.0, 6.2, 6.333333333333333, 6.0, 7.5, 6.75]","[6.959427167746592, 7.046807036046774, 7.078422596860986, 7.089861658340953, 7.094000510354726, 7.095498019221332, 7.096039844055394, 7.096235885733244, 7.096306817032509, 7.09633248121408, 7.096341766962718, 7.096345126708579, 7.096346342323247, 7.096346782153841, 7.096346941292224]","[1, 0, 0]",0.5677522935634158
17,AS14.30,"[6.5, 7.0, 5.75, 6.6, 7.2, 7.0, 7.0, 7.75, 7.2, 7.14102564102564, 7.25, 7.4, 7.4, 7.6]","[7.075970957101102, 7.075970957101102, 7.075970957101102, 7.075970957101102, 7.075970957101102, 7.075970957101102, 7.075970957101102, 7.075970957101102, 7.075970957101102, 7.075970957101102, 7.075970957101102, 7.075970957101102, 7.075970957101102, 7.075970957101102]","[0, 1, 1]",0.48829151786511393
