,id,test_data,predicted_mood,orders,rmse,mae,mse
0,AS14.01,"['id', 'circumplex.valence', 'mood']","[7.541930796926026, 7.541930796926026, 7.541930796926026, 7.232728318430491, 7.541930796926026, 7.541930796926026, 7.232728318430491, 7.541930796926026, 7.155427698806607, 7.541930796926026, 7.541930796926026, 7.541930796926026, 7.541930796926026]","[0, 0, 0]",0.3408129339903881,0.25975762411456044,0.11615345597513663
1,AS14.17,"['id', 'circumplex.valence', 'mood']","[7.229036347960793, 7.229036347960793, 7.229036347960793, 7.229036347960793, 7.229036347960793, 6.996234417719265, 7.229036347960793, 7.229036347960793, 7.229036347960793, 7.229036347960793, 7.229036347960793, 7.11925008680809, 7.229036347960793]","[0, 0, 0]",0.3392169506890584,0.22969961039693482,0.11506813963478307
2,AS14.08,"['id', 'circumplex.valence', 'mood']","[6.177976899524407, 7.055946790563106, 6.776475370768462, 5.997178951618746, 6.588129367204127, 6.493607373786512, 5.997292101292709, 7.060829964683237, 6.777220010816723, 7.0608300246560765, 7.0608300258661325, 7.060830026050655, 7.0608300260787935]","[1, 0, 0]",0.4050562257902883,0.3609635056662306,0.16407054605147303
3,AS14.13,"['id', 'circumplex.valence', 'mood']","[7.191455662143741, 7.594212269541524, 8.15807151989842, 7.996968876939307, 7.191455662143741, 7.594212269541524, 7.191455662143741, 8.802482091734873, 6.869250376225515, 7.191455662143741, 7.191455662143741]","[0, 0, 0]",0.6743035594237831,0.5696201638366555,0.4546852902515834
4,AS14.16,"['id', 'circumplex.valence', 'mood']","[6.978699344348507, 6.973028267245619, 6.968044477389397, 6.963664681297694, 6.95981567996371, 6.95643314548977, 6.953460545982888, 6.950848200744015, 6.576605475349623, 6.946534925024774, 6.944761907284612]","[1, 0, 1]",0.49143759106344503,0.3405678380900884,0.24151090591024182
5,AS14.05,"['id', 'circumplex.valence', 'mood']","[7.155605714468367, 7.1490307974678515, 7.133176921684972, 7.115829736605544, 6.8625721538090865, 7.099582389773929, 7.098193311948362, 7.091763954032861, 7.086757070020948, 7.085894961930076, 7.080855866004105]","[3, 0, 1]",0.3439196318800083,0.2545729706518536,0.1182807131924804
6,AS14.15,"['id', 'circumplex.valence', 'mood']","[6.722837076838892, 6.582111327840401, 6.5142026945649, 5.874063718327345, 6.2273032302898255, 6.680908172749257, 6.410392607841317, 6.7708094944088915, 6.903853014561554, 6.850166370962039, 6.770356043709179, 7.128542445539539]","[2, 0, 0]",0.2945897411823651,0.2660238312472185,0.08678311560989284
7,AS14.12,"['id', 'circumplex.valence', 'mood']","[6.742724606518982, 6.315396253108034, 6.664637043211741, 6.616242371246963, 6.296884443368107, 6.110320085350578, 6.117779007640305, 5.803005236840838, 5.390783273524199, 5.9421218472959705]","[1, 1, 0]",0.3653868436964233,0.2859561089774657,0.1335075455464345
8,AS14.02,"['id', 'circumplex.valence', 'mood']","[6.494562363440215, 6.494562363440215, 6.112198988353309, 6.494562363440215, 5.921017300809856, 6.112198988353309, 7.068107426070574, 5.921017300809856, 7.641652488700934]","[0, 0, 0]",0.958952089361241,0.7581063574780788,0.9195891096902895
9,AS14.07,"['id', 'circumplex.valence', 'mood']","[5.007514078256289, 6.0434980302458845, 6.647822002239815, 5.3528420622528206, 6.21616202224415, 4.777295422258601, 6.388826014242416, 5.3528420622528206, 7.07948198223548, 6.21616202224415]","[0, 0, 0]",0.5756652798235689,0.4469201270653083,0.33139051439434786
10,AS14.20,"['id', 'circumplex.valence', 'mood']","[7.236787671150003, 6.493778997822675, 6.671046678019358, 7.158532798560235, 7.025582038412723, 6.84831435821604, 6.671046678019358, 6.936948198314382, 7.084671265144951, 6.493778997822675]","[0, 0, 1]",0.2883282259983307,0.24114814676051494,0.08313316590734446
11,AS14.30,"['id', 'circumplex.valence', 'mood']","[7.736829065438787, 7.736829065438787, 7.736829065438787, 7.736829065438787, 7.736829065438787, 7.736829065438787, 7.736829065438787, 7.736829065438787, 7.736829065438787, 7.736829065438787]","[0, 0, 0]",0.22616717548757617,0.18317093456121283,0.05115159126802808
12,AS14.14,"['id', 'circumplex.valence', 'mood']","[7.2660207188801715, 7.2660207188801715, 6.861848763910108, 6.861813388898196, 7.2660207188801715, 6.6134461287594375, 7.2660207188801715, 7.2660207188801715, 7.004990882831878, 7.2660207188801715]","[0, 0, 0]",0.4302633572508096,0.3727964709737958,0.1851265565927378
13,AS14.03,"['id', 'circumplex.valence', 'mood']","[7.512823575884257, 7.512823575884257, 7.512823575884257, 7.512823575884257, 7.810962746088627, 7.512823575884257, 7.3637539907820715, 7.512823575884257, 7.289927228533783, 7.512823575884257]","[0, 1, 1]",0.3372866974997136,0.3022574079123264,0.1137623163102633
14,AS14.09,"['id', 'circumplex.valence', 'mood']","[7.266172297935443, 6.207302763773794, 6.7014418797158966, 6.560259275161011, 6.913215786548227, 6.913215786548227, 6.98380708882567, 6.913215786548227, 6.419076670606124, 6.560259275161011]","[0, 1, 1]",0.48631168924554835,0.3935435698930186,0.2364990590968588
15,AS14.19,"['id', 'circumplex.valence', 'mood']","[7.6361013906051145, 6.75688893786693, 6.501783943046359, 6.501783943046359, 6.720445367178277, 6.720445367178277, 7.157768215442113, 6.939106791310195, 6.720445367178277, 6.939106791310195]","[0, 0, 1]",0.37653909401168356,0.2981027048687703,0.14178168931913945
16,AS14.23,"['id', 'circumplex.valence', 'mood']","[7.22510381951369, 7.237595776851662, 7.4290842356682, 7.23658089716083, 7.2271424445823556, 7.2357389953720475, 7.430775393849284, 7.235040588823608]","[1, 1, 2]",0.6693582380549867,0.42612264550862267,0.44804045085207633
17,AS14.26,"['id', 'circumplex.valence', 'mood']","[7.1595710947973314, 7.436721169220357, 7.496779642409513, 7.0933817228407285, 7.138978906128067, 6.789714090794414, 6.426918153477726, 7.783317227643316, 7.63903088136981, 7.451440510621979, 5.76932020214146, 5.593521442126276, 7.3803610575653185, 6.435309363352985]","[3, 1, 3]",0.23204375326648197,0.19364539621857033,0.05384430342999596
18,AS14.06,"['id', 'circumplex.valence', 'mood']","[7.509635565193571, 6.889648874185102, 7.304400931639812, 7.41999358962911, 6.049774285820868, 7.09371853537486, 6.87870609020937, 6.9727318294609315, 6.3859764547100655, 7.446594426589428]","[3, 1, 1]",0.35569527348675,0.3023318202028393,0.12651912758081388
19,AS14.28,"['id', 'circumplex.valence', 'mood']","[6.92071227063418, 7.55772248760274, 7.55772248760274, 7.203827922620206, 7.55772248760274, 7.21311884251681, 6.23061786891824, 7.02688064012894]","[0, 1, 1]",0.4525949741648732,0.3883279407426301,0.20484221063930225
20,AS14.32,"['id', 'circumplex.valence', 'mood']","[7.804317035253737, 7.195682964746263, 7.603894843795398, 7.0435244471193945, 7.0435244471193945, 7.6521585176268685, 7.5, 7.3174097788477575, 7.3174097788477575]","[0, 1, 0]",0.5990062188536003,0.45997998519127326,0.3588084502252873
21,AS14.31,"['id', 'circumplex.valence', 'mood']","[7.060522520711181, 7.154246374704739, 7.154246374704739, 7.154246374704739, 7.154246374704739, 7.154246374704739, 7.154246374704739, 7.154246374704739, 7.154246374704739]","[0, 0, 1]",0.1810586103345631,0.17437045580810523,0.03278222037628316
22,AS14.29,"['id', 'circumplex.valence', 'mood']","[7.764794021759619, 8.004140636064841, 7.525447407454396, 7.286100793149173, 7.286100793149173, 7.764794021759619, 7.764794021759619, 7.286100793149173, 6.807407564538727]","[0, 0, 0]",0.3635256739144866,0.2953669310497242,0.13215091559498163
23,AS14.27,"['id', 'circumplex.valence', 'mood']","[7.687587073473081, 6.801802879140151, 6.211280082918199, 6.506541481029175, 7.097064277251127, 7.982848471584057, 7.097064277251127, 7.613771723945336, 7.244694976306616]","[0, 0, 0]",0.18263209086877227,0.16980357886418426,0.03335448061509949
24,AS14.25,"['id', 'circumplex.valence', 'mood']","[6.580614766084485, 6.580614766084485, 7.223842375791424, 6.580614766084485, 7.309110366785067, 6.580614766084485, 7.116637774173601]","[0, 0, 0]",0.15113919197061138,0.13330583899771525,0.022843055349529316
25,AS14.24,"['id', 'circumplex.valence', 'mood']","[6.323034962746544, 6.726293743207694, 7.263972117155893, 6.995132930181793, 6.547067618558294, 6.995132930181793, 6.995132930181793, 6.995132930181793, 6.995132930181793, 6.995132930181793, 6.5654981382564355, 6.995132930181793]","[0, 1, 1]",0.5414403305044231,0.37267233023859125,0.29315763149673885
26,AS14.33,"['id', 'circumplex.valence', 'mood']","[6.252085049153732, 5.859245244389966, 6.252085049153732, 6.383031650741653, 5.859245244389966, 6.487788932011991, 7.7448763072560425, 7.430604463445031, 5.23070155676794, 7.430604463445031]","[0, 0, 0]",0.6022243209875905,0.444160880106632,0.36267413278896443
