,time,id,circumplex.valence,appCat.office,activity,circumplex.arousal,mood
0,2014-02-26,AS14.01,0.75,7.22651241331396,0.11866087375465534,-0.25,6.25
1,2014-02-27,AS14.01,0.3333333333333333,7.224952407598,0.11866166969047612,0.0,6.333333333333333
1316,2014-02-28,AS14.01,0.6690211962952375,5.173544891110298,0.1197083252947999,0.005128093574944814,7.212490741346347
1317,2014-03-01,AS14.01,0.6689940921048145,5.1719848853943375,0.11970912123062068,0.005291463450768974,7.212824180601279
1318,2014-03-03,AS14.01,0.6689669879143917,5.170424879678377,0.11970991716644146,0.005454833326593134,7.2131576198562115
648,2014-03-04,AS14.17,2.0,6.215628709371732,0.11917664016651984,0.5,7.0
649,2014-03-05,AS14.17,1.3333333333333333,6.214068703655771,0.1191774361023406,0.6666666666666666,8.0
289,2014-03-05,AS14.08,0.3333333333333333,6.775670761401454,0.11889089920686034,0.0,6.333333333333333
1319,2014-03-05,AS14.01,0.6689398837239687,5.168864873962416,0.11971071310226224,0.005618203202417293,7.213491059111143
1320,2014-03-06,AS14.01,0.6689127795335458,5.167304868246457,0.11971150903808302,0.005781573078241453,7.213824498366075
650,2014-03-06,AS14.17,0.75,6.2125086979398105,0.11917823203816139,0.5,7.25
290,2014-03-06,AS14.08,0.6,6.774110755685494,0.11889169514268111,-0.6,7.2
651,2014-03-07,AS14.17,1.0,6.210948692223851,0.11917902797398217,0.75,7.5
291,2014-03-07,AS14.08,1.2,6.772550749969533,0.11889249107850189,0.6,7.4
1321,2014-03-07,AS14.01,0.6688856753431229,5.165744862530497,0.1197123049739038,0.005944942954065641,7.214157937621007
652,2014-03-08,AS14.17,0.8,6.20938868650789,0.11917982390980295,0.4,7.6
292,2014-03-08,AS14.08,1.0,6.770990744253574,0.11889328701432267,0.0,7.0
293,2014-03-09,AS14.08,1.2,6.769430738537613,0.11889408295014345,-1.0,7.2
653,2014-03-09,AS14.17,1.0,6.2078286807919305,0.11918061984562373,0.8,7.2
1322,2014-03-10,AS14.01,0.6688585711527,5.164184856814536,0.11971310090972458,0.0061083128298898,7.214491376875939
654,2014-03-10,AS14.17,0.6666666666666666,6.20626867507597,0.1191814157814445,0.6666666666666666,7.333333333333333
294,2014-03-10,AS14.08,0.6,6.7678707328216525,0.11889487888596423,-1.0,6.8
655,2014-03-11,AS14.17,0.4,6.204708669360009,0.11918221171726529,0.0,6.2
1323,2014-03-11,AS14.01,0.668831466962277,5.162624851098576,0.11971389684554534,0.00627168270571396,7.214824816130871
