,id,test_data,predicted_mood,orders,rmse
0,AS14.01,"[7.6, 7.4, 7.6, 7.6, 7.2, 7.6, 7.5, 7.6, 7.0, 7.8, 8.0, 7.6, 8.0, 8.0, 6.7896897660926365]","[7.08511654479627, 7.024614999591308, 7.002414852416655, 6.994268836758599, 6.991279776795201, 6.99018298545084, 6.989780534088941, 6.989632860514083, 6.989578673879932, 6.989558790895969, 6.98955149512908, 6.989548818055327, 6.989547835742708, 6.989547475297621, 6.989547343037628]","[1, 0, 0]",0.6486345303200698
1,AS14.09,"[6.5, 6.6, 6.333333333333333, 7.2, 7.25, 8.0, 6.25, 6.6, 6.75, 7.0, 7.5, 7.6, 7.75, 6.6, 6.0]","[6.685606180656846, 6.685606180656846, 6.685606180656846, 6.685606180656846, 6.685606180656846, 6.685606180656846, 6.685606180656846, 6.685606180656846, 6.685606180656846, 6.685606180656846, 6.685606180656846, 6.685606180656846, 6.685606180656846, 6.685606180656846, 6.685606180656846]","[0, 1, 1]",0.6264391289643046
2,AS14.31,"[7.0, 7.0, 7.0, 7.4, 7.2, 7.0, 6.75, 7.0, 7.0, 7.333333333333333, 7.0, 7.0, 7.0, 7.0, 7.0, 7.179813694363016]","[7.026015406937505, 7.011329626312305, 7.011329626312305, 7.011329626312305, 7.011329626312305, 7.011329626312305, 7.011329626312305, 7.011329626312305, 7.011329626312305, 7.011329626312305, 7.011329626312305, 7.011329626312305, 7.011329626312305, 7.011329626312305, 7.011329626312305, 7.011329626312305]","[0, 1, 2]",0.15592225970066895
3,AS14.13,"[6.6, 7.4, 5.75, 7.4, 7.666666666666667, 7.75, 8.8, 8.0, 8.166666666666666, 8.5, 7.833333333333333, 8.333333333333334, 8.0, 7.25, 8.0]","[6.066522397903793, 6.925847176029306, 6.765919085633191, 6.986344046363488, 6.983789792339329, 7.048092572547447, 7.060315560550048, 7.081690608386397, 7.089597649191119, 7.09747856268056, 7.101393803835723, 7.1045012255743245, 7.106279511918399, 7.10755207711429, 7.108331759743329]","[2, 0, 0]",0.9426352735965008
4,AS14.14,"[7.0, 7.0, 7.0, 7.333333333333333, 8.0, 8.0, 7.666666666666667, 6.950407486969835, 6.950740926224768, 7.0, 6.0, 6.666666666666667, 6.8, 6.8, 7.0]","[7.193336737959277, 7.016684288993989, 7.298745626678662, 6.904415236593668, 7.101449616930256, 7.002997790718599, 7.052191043529872, 7.0276107364368245, 7.039892735740803, 7.033755810505007, 7.036822237266451, 7.035290041138584, 7.036055630913552, 7.035673090001931, 7.035864233554064]","[1, 0, 3]",0.5051960230487663
5,AS14.15,"[7.0, 7.0, 7.0, 6.2, 7.0, 7.0, 7.0, 6.0, 6.6, 7.0, 6.8, 7.0, 7.0, 6.970747281520684, 7.0, 7.0]","[6.98219900050795, 6.976133970268399, 6.974067536199733, 6.973363475446286, 6.973123592862049, 6.9730418617700405, 6.973014014932296, 6.973004527155328, 6.97300129454728, 6.973000193156003, 6.972999817897782, 6.972999690042464, 6.972999646480507, 6.972999631638387, 6.972999626581484, 6.972999624858533]","[1, 1, 1]",0.32799334960400317
6,AS14.29,"[7.6, 7.144802572595162, 8.0, 8.0, 7.333333333333333, 7.146136329614889, 7.8, 7.8, 7.4, 7.0, 7.0, 7.6, 8.2, 7.6, 6.0]","[7.545465943067295, 7.483305567846985, 7.483305567846985, 7.483305567846985, 7.483305567846985, 7.483305567846985, 7.483305567846985, 7.483305567846985, 7.483305567846985, 7.483305567846985, 7.483305567846985, 7.483305567846985, 7.483305567846985, 7.483305567846985, 7.483305567846985]","[0, 0, 1]",0.5293681684032043
7,AS14.08,"[6.0, 5.6, 6.666666666666667, 6.333333333333333, 6.0, 6.0, 5.8, 5.75, 6.666666666666667, 7.0, 7.2, 7.4, 6.8, 6.666666666666667]","[6.811398056043088, 6.867880436743286, 6.875635114439741, 6.8766997831989265, 6.8768459555623895, 6.876866024113904, 6.876868779400542, 6.87686915768417, 6.876869209620146, 6.876869216750631, 6.8768692177296025, 6.876869217864009, 6.876869217882462, 6.8768692178849955]","[1, 0, 0]",0.7101084144874906
8,AS14.16,"[7.25, 6.6, 7.25, 5.4, 7.2, 6.75, 7.2, 8.0, 7.0, 7.0, 7.0, 8.0, 6.98875300128701, 7.0, 7.333333333333333]","[7.004780053238138, 6.998814907552828, 6.993289653426296, 6.988171851653586, 6.9834314552148085, 6.979040632866704, 6.974973605743215, 6.971206496005708, 6.967717186654301, 6.964485191677199, 6.9614915357756955, 6.958718642958687, 6.956150233352644, 6.953771227621172, 6.951567658433042]","[1, 0, 1]",0.5917650998866353
9,AS14.17,"[7.4, 6.6, 7.25, 7.2, 7.2, 8.0, 7.2, 6.75, 7.0, 7.0, 8.0, 7.0, 7.25, 7.008425917327995, 7.5]","[7.221610146334531, 7.221610146334531, 7.221610146334531, 7.221610146334531, 7.221610146334531, 7.221610146334531, 7.221610146334531, 7.221610146334531, 7.221610146334531, 7.221610146334531, 7.221610146334531, 7.221610146334531, 7.221610146334531, 7.221610146334531, 7.221610146334531]","[0, 0, 0]",0.3764495833861002
10,AS14.19,"[6.4, 6.8, 6.0, 6.6, 7.25, 7.75, 6.333333333333333, 6.4, 7.2, 7.0, 6.8, 7.8, 7.4, 6.6, 7.0]","[7.233621532548271, 7.104268182758532, 7.058598770966392, 7.042474757349193, 7.036782023308498, 7.034772150231765, 7.034062545715605, 7.03381201319433, 7.033723560340964, 7.033692331232548, 7.0336813055033, 7.033677412766311, 7.0336760383990535, 7.03367555316582, 7.033675381849681]","[1, 0, 0]",0.5506186329689647
