,id,test_data,predicted_mood,orders,rmse
57,AS14.01,"[7.2138245  7.21415794 7.21449138 7.21482482 7.21515826 7.21549169
 7.21582513 7.21615857 7.21649201 7.21682545 7.21715889 7.21749233
 6.77435156 6.2        6.4        6.8        6.         6.75
 6.6        7.         6.4        8.         7.5        7.4
 6.         6.5        6.4        6.2        6.8        6.5
 6.5        6.6        7.4        7.4        7.         7.25
 8.         7.2        6.4        7.2        6.6        6.8
 7.8        7.25       7.6        7.4        7.6        7.6
 7.2        7.6        7.5        7.6        7.         7.8
 8.         7.6        8.         8.        ]","[[7.21349106]
 [7.2138245 ]
 [7.21415794]
 [7.21449138]
 [7.21482482]
 [7.21515826]
 [7.21549169]
 [7.21582513]
 [7.21615857]
 [7.21649201]
 [7.21682545]
 [7.21715889]
 [7.21749233]
 [6.77609084]
 [6.01690249]
 [6.72783635]
 [6.86061651]
 [6.27004196]
 [6.48739181]
 [6.45833919]
 [6.59188546]
 [6.59166926]
 [7.31060069]
 [7.38189941]
 [7.38220611]
 [7.04998838]
 [6.82212962]
 [6.40806292]
 [6.25373521]
 [6.54998609]
 [6.48044047]
 [6.48334451]
 [6.50002546]
 [7.10014708]
 [7.39182809]
 [6.89757305]
 [7.23726968]
 [8.39165966]
 [7.37501731]
 [6.27649741]
 [7.17497748]
 [6.87533299]
 [6.79140559]
 [7.00005968]
 [7.23242515]
 [7.39991952]
 [7.43455053]
 [7.408588  ]
 [7.54167031]
 [7.44166394]
 [7.49999716]
 [7.48333597]
 [7.51666672]
 [7.41664523]
 [7.45000166]
 [7.58335903]
 [7.58342656]
 [7.77834183]]","[0, 1, 1]",0.6870163777253916
56,AS14.17,"[7.33333333 6.2        6.4        7.25       8.         7.30251934
 7.30285278 7.30318622 7.30351966 7.3038531  6.99342115 7.4
 7.4        7.4        7.         7.5        7.2        7.2
 7.2        6.8        8.         7.25       7.4        7.5
 7.2        7.         7.         7.25       7.         7.
 7.         6.75       7.2        7.2        7.2        7.
 7.         7.2        7.         7.         7.         7.2
 7.4        6.6        7.25       7.2        7.2        8.
 7.2        6.75       7.         7.         8.         7.
 7.25       7.00842592 7.5       ]","[[7.42499473]
 [7.48055039]
 [7.18055073]
 [7.03888384]
 [6.99721733]
 [7.06388393]
 [7.08097049]
 [7.07589039]
 [7.2597549 ]
 [7.41034122]
 [7.41931692]
 [7.25155388]
 [7.2678006 ]
 [7.2839918 ]
 [7.30012743]
 [7.24954087]
 [7.28223154]
 [7.31666159]
 [7.28332826]
 [7.24999511]
 [7.14999476]
 [7.31666175]
 [7.27499515]
 [7.30832848]
 [7.35832837]
 [7.35832837]
 [7.39166141]
 [7.22499516]
 [7.22499516]
 [7.1583285 ]
 [7.07499516]
 [7.04166165]
 [6.99999511]
 [7.03332845]
 [7.02499511]
 [7.05832845]
 [7.05832845]
 [7.05832845]
 [7.13332826]
 [7.09999453]
 [7.0666616 ]
 [7.03332744]
 [7.0666616 ]
 [7.13332845]
 [7.0333282 ]
 [7.07499486]
 [7.10832823]
 [7.14166135]
 [7.27499495]
 [7.24166158]
 [7.26666171]
 [7.22499499]
 [7.19166162]
 [7.32499511]
 [7.15832832]
 [7.16666165]
 [7.20973276]]","[0, 0, 0]",0.35524572465453585
55,AS14.08,"[6.6        7.         6.6        7.4        6.4        7.
 5.4        6.4        7.         6.4        6.6        6.4
 7.2        6.8        7.2        6.5        6.33333333 6.25
 7.16666667 6.8        7.6        7.2        6.6        7.
 7.5        7.4        7.6        7.         6.5        6.25
 7.6        7.6        7.         7.6        6.6        6.4
 6.6        6.2        6.         7.8        6.4        6.4
 6.         5.6        6.66666667 6.33333333 6.         6.
 5.8        5.75       6.66666667 7.         7.2        7.4
 6.8        6.66666667]","[[7.1037662 ]
 [6.85810837]
 [7.00894784]
 [6.90268822]
 [6.48008097]
 [7.182372  ]
 [6.71380901]
 [7.5626369 ]
 [6.56059573]
 [6.41106608]
 [6.44721336]
 [6.37634724]
 [6.36108352]
 [6.21916349]
 [6.70348947]
 [6.75918532]
 [6.91216988]
 [6.85728814]
 [6.52716882]
 [6.69512748]
 [6.702681  ]
 [6.9738612 ]
 [6.96039286]
 [7.10779876]
 [7.07109191]
 [7.03116062]
 [7.2765594 ]
 [7.35678491]
 [7.08786759]
 [6.88099873]
 [6.42067694]
 [7.15399156]
 [7.24172217]
 [6.99340725]
 [7.16737105]
 [7.66009308]
 [6.94726292]
 [6.89863112]
 [6.58920482]
 [6.31687308]
 [5.64315019]
 [6.63762573]
 [6.62239735]
 [6.61077129]
 [6.44799673]
 [6.55002268]
 [6.21555185]
 [6.2025638 ]
 [6.12094339]
 [6.16560651]
 [5.82733357]
 [5.79089553]
 [6.68838047]
 [6.98878384]
 [7.23151284]
 [6.73295319]]","[1, 0, 0]",0.6991386855632443
46,AS14.05,"[7.2        7.25       3.75       4.4        3.75       5.33333333
 5.5        5.8        6.2        6.4        6.2        6.8
 7.         7.         7.2        7.         7.5        6.8
 6.75       6.75       7.         7.2        7.         7.
 7.5        6.4        7.         7.2        6.6        7.5
 7.2        7.2        7.2        7.2        7.2        7.2
 7.2        7.8        7.4        7.         6.8        7.
 6.8        7.         6.75       7.         6.33333333]","[[5.88628087]
 [6.41339256]
 [6.378476  ]
 [8.51283106]
 [7.62630113]
 [5.34001994]
 [6.7626692 ]
 [3.89032602]
 [5.21138673]
 [5.41446363]
 [5.94528098]
 [5.78732355]
 [6.54790632]
 [6.4292091 ]
 [6.82051093]
 [6.98577895]
 [6.58181137]
 [6.97861484]
 [7.26797815]
 [7.5558368 ]
 [7.18503973]
 [7.22547829]
 [7.04557348]
 [6.70866142]
 [6.81762397]
 [6.82655812]
 [7.8558865 ]
 [7.58588986]
 [7.07400154]
 [7.13178019]
 [6.44820132]
 [6.38100939]
 [6.92416229]
 [6.99738304]
 [7.32509867]
 [7.28657196]
 [7.19999518]
 [7.19999518]
 [7.06732724]
 [7.0411973 ]
 [7.2576713 ]
 [7.31820692]
 [7.51661298]
 [6.79601071]
 [7.14062884]
 [7.0698211 ]
 [6.78661361]]","[2, 0, 2]",1.1598836998832271
47,AS14.16,"[6.4        5.66666667 6.8        6.5        7.         6.4
 6.         5.6        6.         6.5        6.         5.4
 6.         5.8        6.4        6.25       6.2        7.
 6.75       7.         6.4        7.2        6.6        7.
 7.         6.4        7.         6.6        7.25       7.
 6.8        7.2        7.         7.25       6.6        7.25
 5.4        7.2        6.75       7.2        8.         7.
 7.         7.         8.         6.988753   7.         7.33333333]","[[6.03333757]
 [6.76656855]
 [5.65338846]
 [6.53228368]
 [6.52769105]
 [6.49451269]
 [6.46597526]
 [6.39443282]
 [5.61483162]
 [5.96746778]
 [6.59799861]
 [6.08333345]
 [5.28333303]
 [5.9166646 ]
 [5.91507941]
 [6.0166706 ]
 [6.16170927]
 [6.21267988]
 [6.72677477]
 [6.74631223]
 [6.92236503]
 [6.63385418]
 [6.75840254]
 [6.82499942]
 [6.82501439]
 [6.86667278]
 [6.76666586]
 [6.86665561]
 [6.76666384]
 [6.87500157]
 [6.87505328]
 [6.84912185]
 [6.97504866]
 [6.97504665]
 [7.08333589]
 [6.97498107]
 [7.01666857]
 [6.26983076]
 [6.78332467]
 [6.74166597]
 [6.73334423]
 [7.23340489]
 [7.24000068]
 [7.19166635]
 [7.15833299]
 [7.36667178]
 [6.98875271]
 [7.16479221]]","[0, 1, 1]",0.7506297607738175
49,AS14.24,"[7.8        7.5        7.2        7.5        6.8        6.2
 7.6        7.         6.8        6.         6.33333333 7.4
 7.         6.83333333 7.5        6.         7.06210964 7.
 7.         7.4        7.         7.25       7.         7.5
 5.2        6.4        7.         7.6        7.2        7.4
 7.         6.2        6.6        6.8        7.2        7.
 7.         6.2        6.6        7.         7.4        7.
 6.83333333 6.75       7.8        7.         7.         7.5
 8.         6.5       ]","[[7.33332826]
 [7.29999573]
 [7.28332845]
 [7.24999515]
 [7.3749947 ]
 [7.34166117]
 [7.16666177]
 [7.13332845]
 [7.04999501]
 [6.98332805]
 [6.73332844]
 [6.65555051]
 [6.85555054]
 [6.75555073]
 [6.72777295]
 [6.84443939]
 [6.84443939]
 [6.96590227]
 [6.89923566]
 [6.89923566]
 [6.99368005]
 [6.91034677]
 [7.11868005]
 [7.10832845]
 [7.19166135]
 [6.89166165]
 [6.724995  ]
 [6.724995  ]
 [6.78332827]
 [6.81666161]
 [6.79999494]
 [7.099995  ]
 [7.06666183]
 [6.99999494]
 [6.8666616 ]
 [6.8666616 ]
 [6.79999474]
 [6.79999474]
 [6.79999474]
 [6.79999474]
 [6.83332848]
 [6.86666167]
 [6.86666167]
 [6.8388839 ]
 [6.93055024]
 [7.13055068]
 [7.13055068]
 [7.063884  ]
 [7.14721723]
 [7.34166184]]","[0, 0, 0]",0.5601612728144029
40,AS14.14,"[7.         6.6        6.2        8.         6.5        6.75
 6.2        7.         7.33333333 7.5        7.4        7.4
 7.         6.8        8.         6.66666667 7.75       7.5
 6.9454059  7.5        6.         6.         6.2        6.5
 6.75       7.5        7.         7.         7.         7.33333333
 8.         8.         7.66666667 6.95040749 6.95074093 7.
 6.         6.66666667 6.8        6.8        7.        ]","[[6.09924286]
 [5.39423284]
 [6.41621584]
 [6.28531822]
 [6.10051409]
 [6.03563086]
 [6.92787536]
 [7.2949594 ]
 [6.84511915]
 [6.98828482]
 [7.06741762]
 [7.15974549]
 [7.11518231]
 [7.27603689]
 [6.83727625]
 [7.25200652]
 [7.38956326]
 [6.69607008]
 [6.79916958]
 [7.65356916]
 [7.58094147]
 [7.90776145]
 [6.43088618]
 [6.73681293]
 [6.40616774]
 [5.92156778]
 [7.69890677]
 [6.2453955 ]
 [6.60783466]
 [6.89568617]
 [6.92502025]
 [7.81737932]
 [7.42997562]
 [7.33610497]
 [7.00759628]
 [7.21412141]
 [7.33087943]
 [6.22295208]
 [6.55361141]
 [6.97401993]
 [6.51935276]]","[1, 0, 3]",0.7981911594835519
34,AS14.02,"[6.5        6.25       6.4        7.75       7.2        7.25
 6.8        7.25       7.         7.2        7.4        6.4
 5.75       6.4        7.4        4.5        6.8        6.25
 7.25       7.25       6.5        6.         7.2        8.
 7.25       6.66666667 6.5        6.5        5.66666667 5.
 5.5        5.66666667 5.5        7.         9.        ]","[[7.06472869]
 [7.798723  ]
 [7.12207147]
 [6.61570351]
 [7.05803151]
 [6.97645803]
 [6.9952024 ]
 [6.9026011 ]
 [7.08586507]
 [7.23845903]
 [7.04938775]
 [7.00418042]
 [7.60534357]
 [6.19066056]
 [6.56945011]
 [6.98751376]
 [7.65383517]
 [5.78307229]
 [6.18458439]
 [5.9455034 ]
 [6.22629068]
 [6.45040699]
 [6.63800577]
 [6.6519609 ]
 [7.36025322]
 [7.09999825]
 [6.8330839 ]
 [6.767817  ]
 [6.75832096]
 [5.9123967 ]
 [5.23353983]
 [5.6900172 ]
 [5.7684067 ]
 [5.63482376]
 [5.60489607]]","[1, 0, 0]",1.075728131081438
41,AS14.03,"[7.75       8.         8.6        8.4        7.4        7.6
 7.4        7.8        7.8        7.6        6.8        7.4
 7.4        7.8        7.4        7.6        7.66666667 7.4
 7.         7.6        8.         7.25       7.5        7.8
 7.5        7.4        7.6        7.         7.4        7.5
 7.5        7.6        7.         7.2        7.         7.2
 7.6        7.75       7.4        7.25       6.8196993  7.66666667]","[[8.10127282]
 [7.93333142]
 [7.96666508]
 [8.25053131]
 [8.34513884]
 [6.83333531]
 [7.62760734]
 [7.4490732 ]
 [7.77256351]
 [7.73331694]
 [7.65435133]
 [6.6466509 ]
 [7.37245569]
 [7.35884977]
 [7.46667312]
 [7.40003087]
 [7.56423666]
 [7.5444807 ]
 [7.54444358]
 [6.85667356]
 [7.44442379]
 [8.05197902]
 [7.48611676]
 [7.45833926]
 [7.52509333]
 [7.6083218 ]
 [7.57499911]
 [7.50837931]
 [7.29164116]
 [7.34801521]
 [7.39999909]
 [7.40001634]
 [7.43335017]
 [7.10456463]
 [7.23714958]
 [7.06687085]
 [7.15374492]
 [7.26668718]
 [7.76624639]
 [7.10840047]
 [7.3333018 ]
 [6.65531153]]","[0, 1, 1]",0.5194027807178015
39,AS14.33,"[6.2        5.2        7.         8.4        7.6        6.2
 6.75       6.2        6.4        7.         7.20015349 7.20048693
 8.33333333 7.25       7.20148725 5.         6.6        4.8
 7.6        6.         6.         5.         6.83333333 6.
 7.         6.         6.         6.2        6.25       6.
 5.75       5.83333333 6.4        6.25       5.4        6.2
 8.2        7.         6.8        7.        ]","[[7.31096647]
 [6.24898475]
 [4.60910366]
 [7.63692993]
 [7.06353505]
 [6.76715732]
 [6.27028983]
 [7.24111496]
 [6.55380017]
 [7.32193874]
 [6.27881708]
 [6.60548766]
 [6.94649299]
 [8.4311812 ]
 [7.85910442]
 [7.41498607]
 [6.30927003]
 [6.19004002]
 [6.77930505]
 [5.80963091]
 [6.20013434]
 [5.58376943]
 [7.10281358]
 [5.69026552]
 [6.38972977]
 [5.78069401]
 [6.91230546]
 [6.49823701]
 [6.68860496]
 [6.35626708]
 [6.39812293]
 [5.91999609]
 [6.00991721]
 [6.23711768]
 [5.90076997]
 [5.85200816]
 [6.12558798]
 [6.94654091]
 [5.83316217]
 [6.70811972]]","[1, 0, 2]",1.1046227750944175
